LogID,LineID,LogTime,LoggedValue,CmdType,Description,UnitType
1,LHPM,01/10/2021 15:36:34,163.4,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:29:00,106,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:29:30,89.9,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:30:09,84.2,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:30:49,79.1,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:32:30,0,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:33:10,93.8,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:33:40,105.1,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:35:39,0,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:43:38,110.6,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:46:08,0,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:52:26,112.7,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:53:07,151,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:53:46,162.8,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 03:59:06,156.5,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 07:15:03,115.3,4,תפוקת קו,Kg/h
1,LHPM,03/10/2021 07:17:02,0,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:00:26,115.9,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:00:56,108.9,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:02:06,0,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:02:46,109,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:04:46,0,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:22:24,108.7,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:23:34,100.5,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:24:53,92.9,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:28:03,107.4,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:28:33,118.8,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:29:53,128.6,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:30:23,151,4,תפוקת קו,Kg/h
1,LHPM,04/10/2021 00:31:03,162.6,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 05:27:36,169.2,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 17:25:07,0,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 19:27:52,111.2,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 19:28:32,131.1,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 19:30:21,138.1,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 19:31:31,151.6,4,תפוקת קו,Kg/h
1,LHPM,05/10/2021 19:45:01,158.9,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 09:55:07,0,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:21:44,106.7,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:23:33,86.6,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:24:04,104.8,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:24:34,151.6,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:25:13,159.3,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:26:33,0,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:31:22,93.7,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:32:02,102.2,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:33:12,108.1,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:33:52,123,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:34:32,136.8,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:35:02,148.8,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:37:02,166.1,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:43:51,172,4,תפוקת קו,Kg/h
1,LHPM,07/10/2021 15:48:51,179.1,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 02:12:42,184.6,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 22:53:30,47.5,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 22:54:09,0,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 23:26:27,111.8,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 23:27:47,134.7,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 23:28:27,140.8,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 23:44:46,162.8,4,תפוקת קו,Kg/h
1,LHPM,08/10/2021 23:49:15,154.8,4,תפוקת קו,Kg/h
1,LHPM,09/10/2021 06:05:47,162.8,4,תפוקת קו,Kg/h
1,LHPM,09/10/2021 13:10:52,0,4,תפוקת קו,Kg/h
1,LHPM,09/10/2021 14:01:50,134.9,4,תפוקת קו,Kg/h
